Tỉnh Thành Phố,Mã TP,Quận Huyện,Mã QH,Phường Xã,Mã PX
Thành phố Hà Nội,1,Quận Ba Đình,1,Phường Phúc Xá,1
Thành phố Hà Nội,1,Quận Ba Đình,1,Phường Trúc Bạch,4
Thành phố Hà Nội,1,Quận Ba Đình,1,Phường Vĩnh Phúc,6
Thành phố Hà Nội,1,Quận Ba Đình,1,Phường Cống Vị,7
Thành phố Hà Nội,1,Quận Ba Đình,1,Phường Liễu Giai,8
Thành phố Hà Nội,1,Quận Ba Đình,1,Phường Nguyễn Trung Trực,10
Thành phố Hà Nội,1,Quận Ba Đình,1,Phường Quán Thánh,13
Thành phố Hà Nội,1,Quận Ba Đình,1,Phường Ngọc Hà,16
Thành phố Hà Nội,1,Quận Ba Đình,1,Phường Điện Biên,19
Thành phố Hà Nội,1,Quận Ba Đình,1,Phường Đội Cấn,22
Thành phố Hà Nội,1,Quận Ba Đình,1,Phường Ngọc Khánh,25
Thành phố Hà Nội,1,Quận Ba Đình,1,Phường Kim Mã,28
Thành phố Hà Nội,1,Quận Ba Đình,1,Phường Giảng Võ,31
Thành phố Hà Nội,1,Quận Ba Đình,1,Phường Thành Công,34
Thành phố Hà Nội,1,Quận Hoàn Kiếm,2,Phường Phúc Tân,37
Thành phố Hà Nội,1,Quận Hoàn Kiếm,2,Phường Đồng Xuân,40
Thành phố Hà Nội,1,Quận Hoàn Kiếm,2,Phường Hàng Mã,43
Thành phố Hà Nội,1,Quận Hoàn Kiếm,2,Phường Hàng Buồm,46
Thành phố Hà Nội,1,Quận Hoàn Kiếm,2,Phường Hàng Đào,49
Thành phố Hà Nội,1,Quận Hoàn Kiếm,2,Phường Hàng Bồ,52
Thành phố Hà Nội,1,Quận Hoàn Kiếm,2,Phường Cửa Đông,55
Thành phố Hà Nội,1,Quận Hoàn Kiếm,2,Phường Lý Thái Tổ,58
Thành phố Hà Nội,1,Quận Hoàn Kiếm,2,Phường Hàng Bạc,61
Thành phố Hà Nội,1,Quận Hoàn Kiếm,2,Phường Hàng Gai,64
Thành phố Hà Nội,1,Quận Hoàn Kiếm,2,Phường Chương Dương,67
Thành phố Hà Nội,1,Quận Hoàn Kiếm,2,Phường Hàng Trống,70
Thành phố Hà Nội,1,Quận Hoàn Kiếm,2,Phường Cửa Nam,73
Thành phố Hà Nội,1,Quận Hoàn Kiếm,2,Phường Hàng Bông,76
Thành phố Hà Nội,1,Quận Hoàn Kiếm,2,Phường Tràng Tiền,79
Thành phố Hà Nội,1,Quận Hoàn Kiếm,2,Phường Trần Hưng Đạo,82
Thành phố Hà Nội,1,Quận Hoàn Kiếm,2,Phường Phan Chu Trinh,85
Thành phố Hà Nội,1,Quận Hoàn Kiếm,2,Phường Hàng Bài,88
Thành phố Hà Nội,1,Quận Tây Hồ,3,Phường Phú Thượng,91
Thành phố Hà Nội,1,Quận Tây Hồ,3,Phường Nhật Tân,94
Thành phố Hà Nội,1,Quận Tây Hồ,3,Phường Tứ Liên,97
Thành phố Hà Nội,1,Quận Tây Hồ,3,Phường Quảng An,100
Thành phố Hà Nội,1,Quận Tây Hồ,3,Phường Xuân La,103
Thành phố Hà Nội,1,Quận Tây Hồ,3,Phường Yên Phụ,106
Thành phố Hà Nội,1,Quận Tây Hồ,3,Phường Bưởi,109
Thành phố Hà Nội,1,Quận Tây Hồ,3,Phường Thụy Khuê,112
Thành phố Hà Nội,1,Quận Long Biên,4,Phường Thượng Thanh,115
Thành phố Hà Nội,1,Quận Long Biên,4,Phường Ngọc Thụy,118
Thành phố Hà Nội,1,Quận Long Biên,4,Phường Giang Biên,121
Thành phố Hà Nội,1,Quận Long Biên,4,Phường Đức Giang,124
Thành phố Hà Nội,1,Quận Long Biên,4,Phường Việt Hưng,127
Thành phố Hà Nội,1,Quận Long Biên,4,Phường Gia Thụy,130
Thành phố Hà Nội,1,Quận Long Biên,4,Phường Ngọc Lâm,133
Thành phố Hà Nội,1,Quận Long Biên,4,Phường Phúc Lợi,136
Thành phố Hà Nội,1,Quận Long Biên,4,Phường Bồ Đề,139
Thành phố Hà Nội,1,Quận Long Biên,4,Phường Sài Đồng,142
Thành phố Hà Nội,1,Quận Long Biên,4,Phường Long Biên,145
Thành phố Hà Nội,1,Quận Long Biên,4,Phường Thạch Bàn,148
Thành phố Hà Nội,1,Quận Long Biên,4,Phường Phúc Đồng,151
Thành phố Hà Nội,1,Quận Long Biên,4,Phường Cự Khối,154
Thành phố Hà Nội,1,Quận Cầu Giấy,5,Phường Nghĩa Đô,157
Thành phố Hà Nội,1,Quận Cầu Giấy,5,Phường Nghĩa Tân,160
Thành phố Hà Nội,1,Quận Cầu Giấy,5,Phường Mai Dịch,163
Thành phố Hà Nội,1,Quận Cầu Giấy,5,Phường Dịch Vọng,166
Thành phố Hà Nội,1,Quận Cầu Giấy,5,Phường Dịch Vọng Hậu,167
Thành phố Hà Nội,1,Quận Cầu Giấy,5,Phường Quan Hoa,169
Thành phố Hà Nội,1,Quận Cầu Giấy,5,Phường Yên Hoà,172
Thành phố Hà Nội,1,Quận Cầu Giấy,5,Phường Trung Hoà,175
Thành phố Hà Nội,1,Quận Đống Đa,6,Phường Cát Linh,178
Thành phố Hà Nội,1,Quận Đống Đa,6,Phường Văn Miếu,181
Thành phố Hà Nội,1,Quận Đống Đa,6,Phường Quốc Tử Giám,184
Thành phố Hà Nội,1,Quận Đống Đa,6,Phường Láng Thượng,187
Thành phố Hà Nội,1,Quận Đống Đa,6,Phường Ô Chợ Dừa,190
Thành phố Hà Nội,1,Quận Đống Đa,6,Phường Văn Chương,193
Thành phố Hà Nội,1,Quận Đống Đa,6,Phường Hàng Bột,196
Thành phố Hà Nội,1,Quận Đống Đa,6,Phường Láng Hạ,199
Thành phố Hà Nội,1,Quận Đống Đa,6,Phường Khâm Thiên,202
Thành phố Hà Nội,1,Quận Đống Đa,6,Phường Thổ Quan,205
Thành phố Hà Nội,1,Quận Đống Đa,6,Phường Nam Đồng,208
Thành phố Hà Nội,1,Quận Đống Đa,6,Phường Trung Phụng,211
Thành phố Hà Nội,1,Quận Đống Đa,6,Phường Quang Trung,214
Thành phố Hà Nội,1,Quận Đống Đa,6,Phường Trung Liệt,217
Thành phố Hà Nội,1,Quận Đống Đa,6,Phường Phương Liên,220
Thành phố Hà Nội,1,Quận Đống Đa,6,Phường Thịnh Quang,223
Thành phố Hà Nội,1,Quận Đống Đa,6,Phường Trung Tự,226
Thành phố Hà Nội,1,Quận Đống Đa,6,Phường Kim Liên,229
Thành phố Hà Nội,1,Quận Đống Đa,6,Phường Phương Mai,232
Thành phố Hà Nội,1,Quận Đống Đa,6,Phường Ngã Tư Sở,235
Thành phố Hà Nội,1,Quận Đống Đa,6,Phường Khương Thượng,238
Thành phố Hà Nội,1,Quận Hai Bà Trưng,7,Phường Nguyễn Du,241
Thành phố Hà Nội,1,Quận Hai Bà Trưng,7,Phường Bạch Đằng,244
Thành phố Hà Nội,1,Quận Hai Bà Trưng,7,Phường Phạm Đình Hổ,247
Thành phố Hà Nội,1,Quận Hai Bà Trưng,7,Phường Lê Đại Hành,256
Thành phố Hà Nội,1,Quận Hai Bà Trưng,7,Phường Đồng Nhân,259
Thành phố Hà Nội,1,Quận Hai Bà Trưng,7,Phường Phố Huế,262
Thành phố Hà Nội,1,Quận Hai Bà Trưng,7,Phường Đống Mác,265
Thành phố Hà Nội,1,Quận Hai Bà Trưng,7,Phường Thanh Lương,268
Thành phố Hà Nội,1,Quận Hai Bà Trưng,7,Phường Thanh Nhàn,271
Thành phố Hà Nội,1,Quận Hai Bà Trưng,7,Phường Cầu Dền,274
Thành phố Hà Nội,1,Quận Hai Bà Trưng,7,Phường Bách Khoa,277
Thành phố Hà Nội,1,Quận Hai Bà Trưng,7,Phường Đồng Tâm,280
Thành phố Hà Nội,1,Quận Hai Bà Trưng,7,Phường Vĩnh Tuy,283
Thành phố Hà Nội,1,Quận Hai Bà Trưng,7,Phường Bạch Mai,286
Thành phố Hà Nội,1,Quận Hai Bà Trưng,7,Phường Quỳnh Mai,289
Thành phố Hà Nội,1,Quận Hai Bà Trưng,7,Phường Quỳnh Lôi,292
Thành phố Hà Nội,1,Quận Hai Bà Trưng,7,Phường Minh Khai,295
Thành phố Hà Nội,1,Quận Hai Bà Trưng,7,Phường Trương Định,298
Thành phố Hà Nội,1,Quận Hoàng Mai,8,Phường Thanh Trì,301
Thành phố Hà Nội,1,Quận Hoàng Mai,8,Phường Vĩnh Hưng,304
Thành phố Hà Nội,1,Quận Hoàng Mai,8,Phường Định Công,307
Thành phố Hà Nội,1,Quận Hoàng Mai,8,Phường Mai Động,310
Thành phố Hà Nội,1,Quận Hoàng Mai,8,Phường Tương Mai,313
Thành phố Hà Nội,1,Quận Hoàng Mai,8,Phường Đại Kim,316
Thành phố Hà Nội,1,Quận Hoàng Mai,8,Phường Tân Mai,319
Thành phố Hà Nội,1,Quận Hoàng Mai,8,Phường Hoàng Văn Thụ,322
Thành phố Hà Nội,1,Quận Hoàng Mai,8,Phường Giáp Bát,325
Thành phố Hà Nội,1,Quận Hoàng Mai,8,Phường Lĩnh Nam,328
Thành phố Hà Nội,1,Quận Hoàng Mai,8,Phường Thịnh Liệt,331
Thành phố Hà Nội,1,Quận Hoàng Mai,8,Phường Trần Phú,334
Thành phố Hà Nội,1,Quận Hoàng Mai,8,Phường Hoàng Liệt,337
Thành phố Hà Nội,1,Quận Hoàng Mai,8,Phường Yên Sở,340
Thành phố Hà Nội,1,Quận Thanh Xuân,9,Phường Nhân Chính,343
Thành phố Hà Nội,1,Quận Thanh Xuân,9,Phường Thượng Đình,346
Thành phố Hà Nội,1,Quận Thanh Xuân,9,Phường Khương Trung,349
Thành phố Hà Nội,1,Quận Thanh Xuân,9,Phường Khương Mai,352
Thành phố Hà Nội,1,Quận Thanh Xuân,9,Phường Thanh Xuân Trung,355
Thành phố Hà Nội,1,Quận Thanh Xuân,9,Phường Phương Liệt,358
Thành phố Hà Nội,1,Quận Thanh Xuân,9,Phường Hạ Đình,361
Thành phố Hà Nội,1,Quận Thanh Xuân,9,Phường Khương Đình,364
Thành phố Hà Nội,1,Quận Thanh Xuân,9,Phường Thanh Xuân Bắc,367
Thành phố Hà Nội,1,Quận Thanh Xuân,9,Phường Thanh Xuân Nam,370
Thành phố Hà Nội,1,Quận Thanh Xuân,9,Phường Kim Giang,373
Thành phố Hà Nội,1,Huyện Sóc Sơn,16,Thị trấn Sóc Sơn,376
Thành phố Hà Nội,1,Huyện Sóc Sơn,16,Xã Bắc Sơn,379
Thành phố Hà Nội,1,Huyện Sóc Sơn,16,Xã Minh Trí,382
Thành phố Hà Nội,1,Huyện Sóc Sơn,16,Xã Hồng Kỳ,385
Thành phố Hà Nội,1,Huyện Sóc Sơn,16,Xã Nam Sơn,388
Thành phố Hà Nội,1,Huyện Sóc Sơn,16,Xã Trung Giã,391
Thành phố Hà Nội,1,Huyện Sóc Sơn,16,Xã Tân Hưng,394
Thành phố Hà Nội,1,Huyện Sóc Sơn,16,Xã Minh Phú,397
Thành phố Hà Nội,1,Huyện Sóc Sơn,16,Xã Phù Linh,400
Thành phố Hà Nội,1,Huyện Sóc Sơn,16,Xã Bắc Phú,403
Thành phố Hà Nội,1,Huyện Sóc Sơn,16,Xã Tân Minh,406
Thành phố Hà Nội,1,Huyện Sóc Sơn,16,Xã Quang Tiến,409
Thành phố Hà Nội,1,Huyện Sóc Sơn,16,Xã Hiền Ninh,412
Thành phố Hà Nội,1,Huyện Sóc Sơn,16,Xã Tân Dân,415
Thành phố Hà Nội,1,Huyện Sóc Sơn,16,Xã Tiên Dược,418
Thành phố Hà Nội,1,Huyện Sóc Sơn,16,Xã Việt Long,421
Thành phố Hà Nội,1,Huyện Sóc Sơn,16,Xã Xuân Giang,424
Thành phố Hà Nội,1,Huyện Sóc Sơn,16,Xã Mai Đình,427
Thành phố Hà Nội,1,Huyện Sóc Sơn,16,Xã Đức Hoà,430
Thành phố Hà Nội,1,Huyện Sóc Sơn,16,Xã Thanh Xuân,433
Thành phố Hà Nội,1,Huyện Sóc Sơn,16,Xã Đông Xuân,436
Thành phố Hà Nội,1,Huyện Sóc Sơn,16,Xã Kim Lũ,439
Thành phố Hà Nội,1,Huyện Sóc Sơn,16,Xã Phú Cường,442
Thành phố Hà Nội,1,Huyện Sóc Sơn,16,Xã Phú Minh,445
Thành phố Hà Nội,1,Huyện Sóc Sơn,16,Xã Phù Lỗ,448
Thành phố Hà Nội,1,Huyện Sóc Sơn,16,Xã Xuân Thu,451
Thành phố Hà Nội,1,Huyện Đông Anh,17,Thị trấn Đông Anh,454
Thành phố Hà Nội,1,Huyện Đông Anh,17,Xã Xuân Nộn,457
Thành phố Hà Nội,1,Huyện Đông Anh,17,Xã Thuỵ Lâm,460
Thành phố Hà Nội,1,Huyện Đông Anh,17,Xã Bắc Hồng,463
Thành phố Hà Nội,1,Huyện Đông Anh,17,Xã Nguyên Khê,466
Thành phố Hà Nội,1,Huyện Đông Anh,17,Xã Nam Hồng,469
Thành phố Hà Nội,1,Huyện Đông Anh,17,Xã Tiên Dương,472
Thành phố Hà Nội,1,Huyện Đông Anh,17,Xã Vân Hà,475
Thành phố Hà Nội,1,Huyện Đông Anh,17,Xã Uy Nỗ,478
Thành phố Hà Nội,1,Huyện Đông Anh,17,Xã Vân Nội,481
Thành phố Hà Nội,1,Huyện Đông Anh,17,Xã Liên Hà,484
Thành phố Hà Nội,1,Huyện Đông Anh,17,Xã Việt Hùng,487
Thành phố Hà Nội,1,Huyện Đông Anh,17,Xã Kim Nỗ,490
Thành phố Hà Nội,1,Huyện Đông Anh,17,Xã Kim Chung,493
Thành phố Hà Nội,1,Huyện Đông Anh,17,Xã Dục Tú,496
Thành phố Hà Nội,1,Huyện Đông Anh,17,Xã Đại Mạch,499
Thành phố Hà Nội,1,Huyện Đông Anh,17,Xã Vĩnh Ngọc,502
